Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-30,키움,1회말,이종민,4 박병호,3 (0-2),헛스윙 삼진,2사  0:1,이닝종료 0:1,0.36,0.119,-0.119,60.5%,-0.009
05-30,키움,5회말,김선기,4 박병호,8 (3-2),중견수 플라이 아웃,무사  0:3,1사  0:3,0.36,0.566,-0.268,87.8%,-0.009
05-18,LG,4회말,최원태,5 박병호,1 (0-0),2루수 플라이 아웃,1사  5:0,2사  5:0,0.36,0.292,-0.175,6.6%,-0.009
06-05,SSG,3회초,앤더슨,4 박병호,2 (1-0),유격수 땅볼 아웃,2사  2:0,이닝종료 2:0,0.34,0.118,-0.118,32.3%,-0.009
07-02,KIA,6회말,장현식,7 박병호,9 (2-2),좌익수 플라이 아웃,2사 1루 1:4,이닝종료 1:4,0.29,0.235,-0.235,89.7%,-0.008
04-09,NC,6회초,한재승,6 박병호,5 (2-2),헛스윙 삼진,1사  4:1,2사  4:1,0.32,0.287,-0.172,15.2%,-0.008
03-24,삼성,6회말,레예스,4 박병호,3 (0-2),헛스윙 삼진,무사  7:1,1사  7:1,0.30,0.529,-0.258,2.3%,-0.008
06-13,LG,6회말,켈리,4 박병호,5 (2-2),좌익수 플라이 아웃,무사  2:5,1사  2:5,0.30,0.570,-0.273,90.6%,-0.008
06-25,LG,5회초,켈리,6 박병호,5 (2-2),루킹 삼진,2사  0:4,이닝종료 0:4,0.24,0.119,-0.119,93.4%,-0.006
06-23,두산,7회말,김유성,5 박병호,4 (1-2),2루수 플라이 아웃,2사  2:4,이닝종료 2:4,0.22,0.117,0.883,86.6%,-0.006
06-28,KT,6회초,성재헌,7 박병호,4 (1-2),헛스윙 삼진,1사  4:0,2사  4:0,0.20,0.304,-0.185,9.1%,-0.005
07-14,두산,8회초,김유성,7 박병호,5 (2-2),투수 땅볼 아웃,1사  5:2,2사  5:2,0.19,0.301,-0.185,8.1%,-0.005
05-14,롯데,8회말,한현희,5 박병호,1 (0-0),3루수 땅볼 아웃,2사 2루 4:7,이닝종료 4:7,0.17,0.393,-0.393,96.7%,-0.005
07-10,NC,5회말,송명기,5 박병호,3 (2-0),1루수 파울플라이 아웃,무사 1루 3:8,1사 1루 3:8,0.20,1.002,-0.439,96.2%,-0.005
06-14,NC,9회초,이준호,4 박병호,1 (0-0),중견수 플라이 아웃,1사 2루 7:4,2사 3루 7:4,0.19,0.796,-0.383,3.4%,-0.005
03-30,한화,9회초,이민우,4 박병호,5 (2-2),헛스윙 삼진,2사  5:8,이닝종료 5:8,0.14,0.104,-0.104,100.0%,-0.004
07-10,NC,3회말,카스타노,5 박병호,4 (1-2),헛스윙 삼진,1사  1:6,2사  1:6,0.14,0.302,-0.185,92.7%,-0.004
06-25,LG,8회초,켈리,6 박병호,6 (2-2),헛스윙 삼진,2사  0:4,이닝종료 0:4,0.12,0.119,-0.119,98.8%,-0.003
04-30,KIA,8회초,김사윤,4 박병호,4 (2-1),중견수 플라이 아웃,"1사 1,2루 9:4","2사 1,2루 9:4",0.13,1.063,-0.566,1.7%,-0.003
