Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-23,KT,4회말,원상현,1 구자욱,4 (2-1),중견수 플라이 아웃,"2사 1,2루 5:1",이닝종료 5:1,1.36,0.505,-0.505,10.0%,-0.035
05-18,한화,8회말,이민우,1 구자욱,7 (3-2),2루수 플라이 아웃,1사  8:8,2사  8:8,1.39,0.292,-0.175,52.6%,-0.035
03-27,LG,1회초,최원태,3 구자욱,5 (1-2),투수 땅볼 아웃,1사 2루 0:0,2사 2루 0:0,1.21,0.765,-0.380,51.6%,-0.034
06-14,NC,1회초,신민혁,3 구자욱,2 (0-1),좌익수 플라이 아웃,1사 2루 0:0,2사 2루 0:0,1.21,0.796,-0.397,51.6%,-0.034
06-02,한화,1회말,문동주,3 구자욱,4 (2-1),중견수 플라이 아웃,1사 2루 0:0,2사 2루 0:0,1.21,0.792,-0.396,53.2%,-0.034
06-20,SSG,1회말,송영진,3 구자욱,4 (2-1),좌익수 플라이 아웃,1사 2루 0:0,2사 2루 0:0,1.21,0.806,-0.402,53.2%,-0.034
05-04,롯데,5회말,윌커슨,3 구자욱,7 (3-2),3루수 땅볼 아웃,2사 2루 1:2,이닝종료 1:2,1.19,0.394,-0.394,66.3%,-0.034
06-23,두산,3회말,김동주,3 구자욱,3 (2-0),선행주자아웃 출루,1사 1루 3:1,2사 1루 3:1,1.39,0.562,-0.325,29.3%,-0.033
04-30,두산,4회초,곽빈,3 구자욱,4 (2-1),우익수 플라이 아웃,1사 1루 0:2,2사 1루 0:2,1.38,0.566,-0.331,76.3%,-0.033
08-04,SSG,5회말,장지훈,3 구자욱,4 (1-2),유격수 병살타 아웃,1사 1루 3:5,이닝종료 3:5,0.75,0.584,-0.584,78.3%,-0.033
05-17,한화,3회말,황준서,1 구자욱,5 (1-2),선행주자아웃 출루,1사 1루 1:1,2사 1루 1:1,1.31,0.550,-0.312,52.6%,-0.031
04-20,한화,6회초,장시환,3 구자욱,4 (1-2),선행주자아웃 출루,1사 1루 1:0,2사 1루 1:0,1.28,0.552,-0.310,36.6%,-0.031
04-27,키움,1회초,후라도,3 구자욱,3 (1-1),2루수 땅볼 아웃,1사 2루 0:0,2사 3루 0:0,1.21,0.806,-0.395,51.2%,-0.030
06-27,LG,1회초,이상영,3 구자욱,3 (1-1),2루수 땅볼 아웃,1사 2루 0:0,2사 3루 0:0,1.21,0.805,-0.381,51.2%,-0.030
03-26,LG,4회초,켈리,3 구자욱,1 (0-0),2루수 땅볼 아웃,무사  0:1,1사  0:1,1.14,0.529,-0.258,65.4%,-0.029
